timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/12 03:58:31.622, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:31.722, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 36 %
2018/01/12 03:58:31.822, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 34 %
2018/01/12 03:58:31.923, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:32.023, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:32.123, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 74 %
2018/01/12 03:58:32.224, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 78 %
2018/01/12 03:58:32.324, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 78 %
2018/01/12 03:58:32.424, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 60 %
2018/01/12 03:58:32.525, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 60 %
2018/01/12 03:58:32.625, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:32.725, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:32.826, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 61 %
2018/01/12 03:58:32.926, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:33.027, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:33.127, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:33.227, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:33.328, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 27 %
2018/01/12 03:58:33.428, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 48 %
2018/01/12 03:58:33.528, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 47 %
2018/01/12 03:58:33.629, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:33.729, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:33.829, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 82 %
2018/01/12 03:58:33.930, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 47 %
2018/01/12 03:58:34.030, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 46 %
2018/01/12 03:58:34.131, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:34.231, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:34.331, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:34.432, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 71 %
2018/01/12 03:58:34.532, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 71 %
2018/01/12 03:58:34.632, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:34.732, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:34.833, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:34.933, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 60 %
2018/01/12 03:58:35.033, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 60 %
2018/01/12 03:58:35.134, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:35.234, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:35.335, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 79 %
2018/01/12 03:58:35.435, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 34 %
2018/01/12 03:58:35.535, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 33 %
2018/01/12 03:58:35.636, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 32 %
2018/01/12 03:58:35.736, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:35.836, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:35.937, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:36.037, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:36.137, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 56 %
2018/01/12 03:58:36.238, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:36.338, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:36.438, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:36.539, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:36.639, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:36.739, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:36.840, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:36.940, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:37.040, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:37.141, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:37.241, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:37.341, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:37.442, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 88 %
2018/01/12 03:58:37.542, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 86 %
2018/01/12 03:58:37.642, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 41 %
2018/01/12 03:58:37.743, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:37.843, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 28 %
2018/01/12 03:58:37.943, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 70 %
2018/01/12 03:58:38.044, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 70 %
2018/01/12 03:58:38.144, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 70 %
2018/01/12 03:58:38.244, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:38.345, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:38.445, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:38.545, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:38.646, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:38.746, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:38.846, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:38.947, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 82 %
2018/01/12 03:58:39.047, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:39.148, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 33 %
2018/01/12 03:58:39.248, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 37 %
2018/01/12 03:58:39.348, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 35 %
2018/01/12 03:58:39.449, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:39.549, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:39.649, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:39.750, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 53 %
2018/01/12 03:58:39.850, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 53 %
2018/01/12 03:58:39.950, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:40.051, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:40.151, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:40.251, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 59 %
2018/01/12 03:58:40.352, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 59 %
2018/01/12 03:58:40.452, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:40.552, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:40.653, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:40.753, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
